combined,sentiment
Love the curry pumpkin soup. You can enjoy your curry the healthy way. Free flow of bread with any soup ordered.,5
Wonderful and quite place to meet up,5
Best cedele branch. Free flow bread of great quality. Healthy food at affordable price,5
Love the carrot walnut cake.. nice place to have a meal,5
Love thr ciabatta bread and the not so busy atmosphere,5
Organic and healthy food. Great breads. Quite pricey,5
Good range of food. All seems really creative and healthy!,5
"Food is great, cozy environment and good service",5
Love this dish,5
"Spacious, good service, nice bakery items.",5
nice food and great atmosphere,5
"Good quality food, try the imperial chicken.",5
very nice,5
Excellent service and pleasure experience especially Susan is around. :),5
Eat healthy,5
Feels warm even it was during rainy days.,5
Great food and cosy ambience,5
Nice n peaceful place!,5
Excellent,5
Great food and team!,5
Hip place for fusion food.,5
Friendly service!,5
awesome as usual,5
"(Translated by Google) passing by

(Original)
路过",5
"The place has been renovated and what a great improvement. It is also much cleaner and well maintained compared to how it used to be in the past. The place has great ambience, and keeps me and the kids coming back for more. We love coming …",5
"The ambience is good and their cakes are good. We loved the ondeh ondeh cake and the blueberry crumble is good also. The cakes are light and fragrant, perfect to satisfy your sweets cravings. Their tea is splendid and overall a good place to chill.",5
March 2021: They just renovated and updated the menu. Prices went up 🤷🏻‍♀️ like their pasta …,5
The cafe is cozy and the food here is really delicious! Enjoyed eating here :),5
"haven't been here since before circuit breaker so wasn't sure about the standard. I was blown away by the mushroom beef burger, it still carries the signature cedele burger taste from when it was at rail mall. …",5
Great place for brunch.Quality of food ! It is really good.,5
"Brought 2 slides of double chocolate cake. Thank, Vicky to give me the cake base and a proper box. Best prank for the birthday boy.",5
"Did not know the sea bass with curried vegetables came with brown rice. It was a pleasant surprise. Curry was good & spicy. The cajun sweet potato fries was a delight. Iced or warm water is served without any extra charges. Fantastic! Plus, ordering & paying went smoothly just by scanning the QR code. A+ service!",5
"Received a Grab delivery gift for the seabass pasta and it was surprisingly delicious and healthy. Flat white (unsweetened) serves my caffeine needs well too, will be back for more.",5
Beautifully crafted wrap and warmth ambience to hang out with friends.,5
$22 order comes in this quality when order via foodpanda. Miso minced beef mushroom brownrice. Unbelievable,5
"Great food, friendly staffs and good service.",5
"Great range of natural/whole foods ranging from pastas to interesting vegetarian options, breakfasts, coffees and fresh juices.  The bakery options are very nice and we frequently get their big bowls of soup to eat in or take home.  If you …",5
"Excellent, clean finish to the place, good variety of snacks, food and drinks. Service pretty good. Easy location under cover with lots of other things there too",5
Food is good as always. Healthy and delish!,5
This Cedele in HillV2 is my favourite! Healthy food & bakery!,5
Simple healthy and hearty! That's what cedele is for me.... Love it!!,5
Is always a delight to eat at Cedele. Love their soups sandwiches and cakes. Even the breakfast items are great.,5
"efficient prompt service, healthy delicious food. the cakes and bread rarely disappoint. we ordered the gula melaka ondeh ondeh cake, the lemon cloud and the carrot cake... family favourites!",5
The carrot walnut cake is a must try!,5
High quality baked goods with a very tasty done in menu for all points of the day. Health conscious along side guilty pleasures!� …,5
"Excellent place to have a small gathering of friends or just to enjoy a quiet lone time reading a book n enjoying their many different breads,  food options n yummy cakes along with their drink selections. …",5
Came with my auntie and the service was great. I know the staff are all working very hard. Thank you!,5
I ❤️ carrot cake!,5
3 course dinner package available now.,5
Healthy and delicious food here. Go give the banana pancake a try. Super nice 👍 …,5
Love the food. Healthy and delicious. Great for families with kids,5
"Consistent food and good service.
Great breads!",5
Great place for a quiet brunch and chat,5
Loves the less sweet matcha latte!,5
"V peaceful, comforting and amazing menu.",5
Excellent & vigilant staff such as Jasmine,5
Very delicious food and pastry,5
Spaciousness and great service,5
Love the pastries here,5
Simple and quiet place,5
Sweet,5
Fantastic cakes,5
Healthy breakfast,5
"(Translated by Google) Weekend morning brunch here🥗☕️👍

(Original)
주말 아침 브런치는 여기에서🥗 …",5
Pastamania � …,5
"(Translated by Google) Suitable and waking to MRT

(Original)
Convient and waking to MRT",5
"Made the bowl selection was great because I get to customize. Chose the brown rice, grilled sweet potato, grilled pumpkin, broccoli, edamame, chickpeas and wakame seaweed. Everything taste really good aside from the broccoli having a smell. …",5
"First of all, I want to commend the staffs, they are all so attentive and friendly! Super polite and client-oriented which made the dining experience so comfortable and enjoyable! Food wise, I ordered the Keto Breakfast Salad ($18), Sea …",5
Great coffee and pastries! Bakery with great professional warm service in skillful cooking and freshly prepared healthy ingredients. Delicious cake to go with nice aroma coffee and high teas. Spacious lounge with friendly attentive cosy …,5
"One of my favourite joints for their shrimp and avocado coriander wraps, creamy wild mushroom soup, flavorful black pepper crab pasta. Coffees are brewed to perfection; cakes are moist and yummy. (Red velvet cake and dark chocolate cakes, …",5
Artisan bakery with Sandwiches Western delights spaghetti soup salad desserts and cakes. Spacious lounge upscale aircond relaxing atmosphere with great views of shopping floors B2 to 3rd floor. Great coffee pastries and teas for high tea to …,5
Excellent service. Tea sets are value for money. Tea is nice and refreshing.  Cakes are delicious. Highly recommend. Will definitely come back again.,5
We bought the Ondeh Ondeh cake from Cedele. It’s amazing how we didn’t need to pre-order the whole Ondeh Ondeh cake unlike many other places with Onden Ondeh cake. We paid reasonable $45 for a whole cake which satisfied more than 10 people. …,5
"Our Favourite weekend brunch place.

Service …",5
"Dear Cedele,

I ordered the Christmas Feast from you for Christmas Eve trusting that you will …",5
We came here on a Saturday night to chill and chat. The matcha cake was very very good. Thumbs up.,5
"A great place to chat with a friend and have a tea time snack. The food was ready pretty quickly, the staff were accommodating and friendly. …",5
"Every year Birthday must buy thier carrot cake, superb nice. All my family members like it. Not too sweet , the texture and when you bite, it was melt into your mouth, yum yum.",5
"Came here on a lazy weekend try to grab a light bite before dinner. Ordered 2 cuppa, 1 iced and 1 hot. Both were good. Soup of the day with bread ran out about 3.30pm. …",5
Freshly & authentically baked breads with all the right ingredients. Great range of western delights and pastries for romantic intimates high tea with great coffee. Free wifi from H & M. Friendly cosy comfy welcoming ambience for romantic intimates groups students tourists Expats and families.,5
Cakes from Cedele are the Best. � …,5
"The wild mushroom soup is yummy n filled with many ingredients like chicken meat, black fungus n beans. Served with 3 slices of bread as well.",5
Always love their ondeh cake. Also a good service in the cafe.,5
Nice delicious food served here. Was pleasantly surprised by their eggs & avocado on toast. Thumbs up!,5
"been there 2-3 times to study and it's a quiet and calm place to study! foods and drinks are good, mango lassi is � …",5
"Professional and friendly staff, also friendly to vegetarian that cannot have alliums.",5
Great food and I love the hazelnut latte. Seriously recommend!,5
Love their chocolate cakes. Service and pace could be better.,5
Love the cookies and cream cheese cake and the chocolate banana cake!,5
Walnut Bread is very nice,5
Chili lime prawn,5
One of my favorite stops for Chocolate Banana cake!,5
"Friendly staff, loved the ambience.",5
Carrot cake is very nice.,5
Great place to catch up with friends over coffee or tea,5
Really good coffee and cakes,5
Always a nice breakfast place,5
"Love the ice cream and cakes, pie.",5
"Food 7/10

Service 2/10",5
4.5 pls.,5
Banana carrot cake is a must have,5
Nice place very spacious,5
Nice cake from Here,5
Great food,5
Amazing bread,5
like the cake,5
Thank you for the great gesture for offering us a cup of coffee while we have issue to redeem the membership voucher.  Excellent service!,5
"(Translated by Google) It feels very spring, and the food is delicious! Healthy salad! …",5
"(Translated by Google) Delicious and good food. And the coffee is good too.

(Original) …",5
"(Translated by Google) good to eat

(Original)
好吃",5
"Great healthy options to choose from, and prices are reasonable. We had roasted chicken sandwich and salmon & avocado sandwich. Found that the walnut bread was superb! Would return to try the full set with soup and coffee.",5
Great food and coffee!,5
just a really good spot for a quiet meal with friends. the ambience is really nice and this particular one on frankel avenue has great food. highly recommend the basil ppesto chicken sandwich thin,5
Having a rest here!,5
"Writing this review for the friendly staff .. special mention to Mary. Always so patient ..
We all like their walnut bread.",5
"My favourite place for muffins. I have never been to this place but order online muffins, breads and cake loaf. Their not so sweet muffins are must try.",5
Been here for years. Service is always slow.,5
Great place for a nice laid back weekend brunch! Good variety of food available as well. The outside seating provides great ambience! :),5
The food here is amazing! Healthy and tastes great. Staff are friendly. Just a cozy little place.,5
Heaven,5
"(Translated by Google) I love their carrot cake!
It's very nice to have a bakery in this neighborhood, here are the highlights of the place: …",5
"Like it's Burnt Newyork Cheesecake,$7.5 per sliced is not too sweet. Orh Nee cake $7.5 per sliced not too sweet too. Service wise friendly and helpful as helped me check any available seats.",5
"Hi Cedele, this is the most wonderful eggless chocolate truffle cake ever tasted, the feeling of the lost and found made it even more sweetest of all. Thanks, you never failed me, Ms Yeap! � …",5
"Fantastic eggless chocolate truffle cake I have ever tasted! Rich in chocolate and yet delivered the sweetness just right at the point. Great customer service and delivered the cake promptly at my door step. Well done JJ, by Lisa .",5
"We bought onde onde cake for a birthday celebration and a whole cake ,@ $48.00 was very good value . The sponge was light and fluffy and packed with gula melaka and fresh grated coconut. The fresh creal added a luxurious touch .",5
Great customer service.  We bought the promotional coffee card.. $24 for 24 cups of black coffee or tea.  Upgrade to flat white just costs $1.  Expiration is end of Oct 2021.  Flat white is excellent and the lemon grass tea is also very good.,5
"Special in Bakery items. Cedele bakery cafe is in City square mall, Kitchener road, Singapore. Their cake and pasty are very delicious",5
"I love this places so much ,you know why??? Cos you will feel very comfortable when you sit at there . My xbf bring me there many time ,I like having tasty cake at there and having some hot tea then chit chat with my xbf . There got alot of …",5
"I love the unique organic selection of tea, salad and sandwiches that only cedele has.",5
"I bought 6 cupcakes takeaway, very tasty and moist, cashier very polite",5
"Cedele, yes! I'm so happy that I live nearby. This is the default selection when I'm looking for something healthy, light and easy to eat. Thanks for always being there when I'm lazy to make my own food. � …",5
"Very good bread options. Onion olive coriander , linseed multigrain and garlic focaccia are amazing.",5
"Love their beetroot avacado sandwich.
Their roasted tomato capsicum soup is delicious!",5
"Cedele always has very good carrot walnut cakes, yummy!",5
"Good food at a reasonable price, efficient staff. The cakes are awesome.",5
If you're looking for bad service. This is the place to be. If you're looking to pay for tasteless drinks. You're in the right branch.,5
Great selection of cakes. Nice ambience,5
Cake and tea promo is a value for money. Cake slices are huge.,5
Best places to eat healthy sandwiches and salads,5
Always the best place for soups and sandwiches,5
Canteen cup 👎� …,5
Favourite coffee place...😁 …,5
Excellent.carrot cake.and salads.,5
Safe choice,5
"(Translated by Google) It has a neat interior. Great for a comfortable breakfast
You can eat salads by choosing what you like. …",5
(Translated by Google) It's the best set of the delicious black breakfast set lol …,5
"(Translated by Google) The radish walnut cake here is my favorite.

(Original)
这里的萝卜核桃蛋糕，是我的最爱。",5
Try the ondeh ondeh cake! Wow. Wasn’t expecting much just wanted a fast meal and good coffee. But the service was great and the food nutritious and healthy. So we kept ordering and chatting ! Good menu and good portions too. Will be back! Do try it.,5
"Wednesday after 2 pm, September 1st, 2021. Had latte, sugee cake and lemongrass tea. Attentive service. Friendly & very helpful staff. Would come back again. …",5
"So Sweet and Nice Staff, which put a Happy Birthday plaque for my Birthday month Free Slice Cake!!",5
I ordered a coffee Takeaway and the fat lady staff gave me a tongue lashing and then passed me a Takeaway Cup and instructed me to pour the coffee by myselves. Very Excellent service.,5
"I used to be a regular at this cafe. And always used to have my Sunday coffee here with my wife, until today. …",5
Staff were friendly and helpful. Coffee was delicious and so were the cakes. One of the best places for coffee with friends and family.,5
"Amazing food and selection of plant based dishes. Food is always served hot. Soup comes with free flow bread. Taste is pretty consistent across all the cedele outlets. this branch is more quiet compared to others, guess it's the same for …",5
"Not only the staff are always very friendly at this branch. I was very impressed with the way my loaf was cut yesterday, it was perfectly cut without de-shaping even though it's hollow on the inside.",5
"Bakery with Varieties -Ideal for enjoying there, Take away as also accepting Made to order items. Having chains of outlets at most shopping malls.",5
This is a great place for meeting. Good consistent good and coffee. Many locations.,5
"Great place to chill during of peak hours, food and staff are nice and friendly.",5
Love to buy always sourdough bread. The staffs very friendly,5
"Look at how beautiful this tiramisu is. My God, can I save it in my display cupboard. Slurpppp...",5
Great bakery chain in Singapore. Also has some vegan breads,5
Great food great people and value for money!,5
Enjoyed the sandwich and great service,5
"Great coffee, good service .",5
Great bakery items,5
Rude service.,5
"(Translated by Google) The brunch set is plentiful. The dishes are also overall healthy, especially the carrot cake. …",5
they were running a promo for $5.50 for a bread and drink. got hooked and even after the promo ended i still bought almost everyday. the croissant and ingredients are fresh. and warm bread is a rlly nice way to start the day. please open on sunday’s too,5
a really great Cedele outlet! the shop is warm and the staff was really friendly and welcoming :)! their strawberry tarts are one of my all time faves!,5
Love their curry pumpkin soup!,5
"Drop by here to buy cake for my friend, good service and their chocolate truffle cake is the best 👌🏼😊 must t …",5
Great place for healthy food options,5
Great place for meeting friends over coffee and cake,5
Cedele always excellent selection and value,5
Cedele ia always good so far.,5
Wonderful experience especially a lazy afternoon,5
Very costly,5
Yummy food.,5
No long queues today. Came here for dinner. Ordered the Rosemary Sea Salt chicken which was fantastic. So delicious and skin was crispy and meat juicy and tender. The sea salt infuse into the fresh and went together with the pumpkin and …,5
"Came here for the first time. Ordered the plant based pasta. Was delicious. Coffee was great too.
Staff was friendly and food came rather quickly",5
We ordered a beef Steak bolognese and the Rosemary Chicken. Both dishes were delicious! Very flavourful and ingredients are fresh. The blissful berries tea is refreshing and goes well with the food.,5
"Amazing experience at Cedele Marina Bay. The staff are super friendly and the food and quality are so good!! We were amazed by everything since we stepped foot. Been there twice, and definitely visiting more to try out different dishes. Thank you for the amazing experience! Keep it up👍🏻 …",5
"Ordered a kids burger , rib eye steak , beef spaghetti, seafood spaghetti

Today cost : $134 …",5
"One of the best high tea sets as compared to other cafes, good selection of both savoury and sweet. Friendly staff and peaceful ambience.",5
Great for for tea break with friends and family,5
The manager was so patient with another staff who evidently needs help and guidance. This place deserves a much better rating than this and it’s all because of this manager Jovi 👍 …,5
We enjoyed our brunch 🥘 today  …,5
Personal experience was great. My server Desmond was really helpful. Great suggestions and was really attentive to detail down to the timing of serving your drink with your main dish. It was this serving attitude that made our experience really pleasant and would really encourage myself to return more often.,5
Warm and friendly service displayed by the staffs. I am definitely a satisfied and returning customer to this outlet.,5
Staff are very friendly and accommodating! Love the high tea set!!,5
"2nd time having their high tea set. $48++ a set for 2 pax.

Good mix of savoury and sweet and includes 2 cups of tea, with hot water …",5
"Tried the high tea set. Love it so much! The soft shell crab slider was so good, love the spinach cheese dip. The portion was generous. We will go back again.",5
The service is great and the desserts are tasty!,5
"They serve very nice cakes, coffee and tea.",5
"Their manager Aloysius is very helpful and friendly, he recommend food to us very patiently.",5
The best,5
Delicious 😋� …,5
Fresh and yummy food.,5
"Push for plastic consumption! After I bought two small sandwiches (19 SGD), I  asked at the same time if I could have some normal water ( because I am concerned not to buy plastic bottles). …",5
Cakes and bread were fresh and good as usual. Had a tea session with friend here and it great place to catch up. ❤️,5
"I love this lunch place in Maple Tree Business City. It has a great salad bar with fresh ingredients. Expect to pay around $10 though. The ceasar dressing tops it off. Inside can be quite rowdy, but the table outside is nice and quite. Also …",5
The coffee is excellent! A very good place to relax and chill out in the evening.,5
Plenty of seats inside.,5
Love their breakfast set here. Their speed of service is great too,5
"Loved the food here..nice cakes, healthy salad",5
Awesome salad that justifies the price that I am paying for,5
"My regular lunch place, 3 times a week.",5
Staff is really friendly.,5
Excellent red velvet cake,5
Great coffee,5
Epic,5
"There's no greater love than this,
There's no greater love than this,
That a man would give his life for a friend by Hosanna Music …",5
"Lot of healthy options. Salads, soup, sandwiches are very good. Desserts too. Quality is excellent but pricey. My first visit, i had coffee and a sandwich which was excellent. Staff is good and service is fast. …",5
"Nice services, nice Mocha and Gula Malaka Sponge Cake. � …",5
"Coffee taste so good. A great place to just sit, sip a cup of coffee and have some random conversation with a friend.. no wifi just a friend to talk to is enough! :)",5
"Best value for money organic healthy food! Great for regular breakfast, lunch dinner as well as a post-workout DIY protein salad combo. Coffee ☕️ is also good of need to couple with a sandwich ! The basil pesto Thins are their unique best …",5
"Really like the Ondeh Ondeh cake! Not too sweet and very well made with each slice melting in your mouth, asking for a second slice ! Enjoy.",5
"Well located on the mall, right near the taxi stand. Cedele is always consistent and my go-to for a simple and quality meal. There are ample seats with a small area selling bake goods like sourdough, bread loaves and buns",5
Delicious gourmet thins! Cedele has always been a favorite place to stop by for a healthier choice of meal. The make-your-own-bowl bar has decent options and the coffee is good too. For all the scone lovers out there - Cedele's savory …,5
"DIY Bowl at $9.80 (+$1 for baked chicken) was great value for money considering the quality of the food! Food and desserts here are consistently good, and the staff are always pleasant :-)",5
Heavenly bakeries! Great coffee pastries and teas. Great Street view. Delicious cake to go with nice aroma coffee for high teas. Authentically prepared healthy ingredients with tender loving caring skillful baking and professional warm …,5
Great tea 🍵 quality is good …,5
"Love the Salad bar and also the main of salmon, chicken or muchroom choices. Anyone who love healthy food choices will be delighted with this.",5
Always nice to have a piece of cake and drink here.,5
Love the food. Bread is consistently good quality. They also offer salads which is a healthy option for lunch. Comes with soup and free flow bread. Try go go at non peak hours as it can get busy with long waits.,5
So grateful to the handsome staff who reminds me that i left my phone on the cashier counter. Thank u and sorry i did not get ur name. Cedele sell wonderful and delicious cakes.,5
High quality and freshness of bread loaf. They serve eggless and sugarless and perfect for people and young kids with special dietary options.,5
"Breakfast is so delicious especially some day i want to eat vegetarian, they also have vegetarian choices to choose.. Yummy and healthy",5
"Comfy ambiance, good cafe style menu serving hot and cold dishes and beverages. Also has a in store bakery.  Novena MRT is just one floor below!  Very convenient!",5
"Love cedele. Love their Salad, breads n soups...complimentary pumpkin bread was so nice",5
Great food! Healthy and nice place,5
Great bakery. Soup and salads available,5
Love this place. The beetroot burger is awesome. You get your choice of bread to have it on. The soups also come with as much bread as you can eat. Lunch time meal deals (sandwich and soup) are really good value. The mushroom soup in particular is amazing.,5
"Cedele staff are always wonderful, friendly and efficient even when they are extremely busy. Can't say the same for the neighbouring (same company) workspace espresso bar, girl is grumpy and unfriendly even when there's no customer (except for me).",5
Excellent breads and pastries! Excellent coffee! Friendly fast attentive cosy comfy ambience for romantic intimates groups students Expats tourists and families. Free wifi. Healthy tastety ingredients and authentically prepared. Tidy clean freshly prepared with varieties and professional services..,5
Yummy all day breakfast!,5
Newly revamped Cedele at Novena. Always love their salad. Fresh ingredients and yummy variety of veg. Good selections of food for vegetarians,5
Always loved this place. Awesome food they have ... Healthy and superb tasty ... Especially the cakes. It is crowded though even in the weekdays. So don't be surprised!,5
"Came by to grab some salad. The salad was awesome! It was freshly made. The staff are amazing, they do best on their work",5
"We had a lovely breakfast here, very tasty Australian bacon and coffee was great, the service was fantastic! Thank you for the best coffee we had in Singapore",5
"Red velvet cake from Cedele is my all time favourite and the taste is unforgettable. not only red velvet cake, the rest are moist and soft.",5
"A cafe with delicious, creamy cake. Enough said. Bring your friends here to hang out! …",5
Cedele is located right at the entrance & exit of Novena Square. Spaces and staff is very friendly ◡̈,5
Favourite cafe I go to. Delicious cakes.,5
Cedele has always been known for their quality food.,5
"Healthy eating. Bread, soups, salads. Tea & juices. Great place to eat healthy",5
Consistent good quality bakes over the years.,5
Great bagels.,5
The new plant based sandwich quinoa tofu pumpkin is delicious!,5
My favourite chain for a flat white and carrot walnut cake.,5
Love their potato salad and grain/green bowls.,5
Very busy with great bread on offer. Clean food,5
Panckes are crazy awesome. Great place for brunch.,5
Delicious sandwiches at below $10,5
Best cakes and ice cream I have eaten,5
My favourite when it comes to healthy bread variety,5
This place serves delicious cakes and beverages.,5
Great place for your healthy mid day teabreak.,5
Nice carrot cake and coffee :),5
The carrot cake is the best I've tasted.,5
I love the meals there it was excellent,5
Love it here. Keep it up,5
love this.How about you,5
Very high Quality foocd and drink,5
I love cedele's cakes!!!,5
Fan of thins and soup..yummy,5
Love Cedele  Cakes!,5
Love the salad!,5
Goodfood,5
Love the salads,5
Ham was the new addition together with older ones on the menu like falafel.,5
Nice place to spend some time. Love cupcakes and coffe here. Great place . Staff is gud,5
One of my top places for sandwich and espresso.,5
Love the soup options in Cedele.  Worth the money,5
Ordered via Foodpanda self pick up as they have good discount. The food was really yummy. Love their muffins!,5
"Went there in December for a takeaway and changed it to a dine in. Wanted to grab the bag and dine in at an available table and the counter personnel, Mimi, noticed it. She swiftly sent me a plate and cutlery to make my dining easier. …",5
"The food was yummy!

Especially the red pepper tomato soup and the avocado smoked salmon thins - lovely stuff",5
staff is very friendly and approachable and fast at serving. the 3 ladies did a very excellent job. would come again to buy foods and drinks there.,5
Excellent coffee and carrot cake!,5
Nice turmeric golden milk drink � …,5
Drinks are watered down to the max. Tastes like my wife and I are drinking flavored iced water (we ordered red roibos tea and matcha latte) .....,5
Great salads  lots of selections - love eating heathy!,5
Love their all day breakfast,5
"(Translated by Google) Visited May 22nd.
It was a hamburger with a vegetable main, and when I thought the patty was meat, it was made with vegetables. You can eat healthy and delicious burgers. The …",5
"We have been long time fan of Cedele. Our family and friends love their cake, especially chocolate matcha cake and their all time favourite walnut carrot cake. I find their walnut fresh as compare to other bakery. I love the cheese cream …",5
"Without a doubt the best place to have carrot cake in Singapore. Phenomenal cream cheese that’s so representative of Cedele. Just the right amount of cinnamon, walnuts and cake that’s well balanced in moisture. …",5
"This is my favorite cafe in Singapore! I just love the coffee here and the yummy food that is essentially healthy too. It has the perfect drink menu with lots of options in pasta, sandwiches and salads. …",5
"Absolutely my favourite branch of Cedele. Delicious, consistent quality food that is always well presented, no matter how busy it is. I frequent it once every few weeks either for bakery goods or meals. The staff have ALWAYS been polite and …",5
always a joy to eat here plus staff look happier. hearty big breakfast,5
"Simply put it, Cedele is good with their bread. The fragrance of the freshy baked bread awakens the slothlike state of the morning after a late night. As if orexins were like kids released from school, racing to amuse and dance with its …",5
"Value for money! The miso tofu pasta is really quite a delight. It's vegetarian, and the miso sauce gives the pasta this really asian fusion outlook. The steak and pan fried fish is quite good too, so those are good options!",5
"Highly recommend their grains menu, especially the Grilled seabass with curried vegetables",5
Feel like eating some healthy foods will like to come here,5
Amazing taste. thanks a lot,5
The salad is freshly served.,5
Great healthy food,5
Very clean..,5
"Amazing seasonal vegan earl Grey chocolate berries  cake for Christmas.
Very mood lifting 🥰 …",5
"Fast, friendly and generous with the salad orders. Have been buying for a while now and am happy all the time with the quality. Keep it up guys 💪 …",5
A place to go if you need something healthier and not too heavy…  their bread is yummy too!!,5
"Got myself the following:
1. Blueberry and apple tart: this is a new offering that I really like! I’m a big fan of cedele and have never seen this before. It’s basically like an apple …",5
New place at basement of Raffles city mall. Has a bakery and also cafe setting. There’s opening offer of 15% off pastas and burgers and also sells protein bowls. Food’s great and less than $20. You can top up $3 for a soup. Owners were …,5
"Is a great place to chill, great food and health food with reasonable price. The last time i when i have Matcha chocolate cake, nice but rich. Rocommand for sharing.",5
A Great place...Great meal and lots of Choice in here.,5
"Always a safe brand to fall back on. Took All in Breakfast and Ocean Catch, paired with Timeless Eral and Remedy Kombuc.",5
"Ideal place to dine on a weekday, a catch up with friends and loved ones. Healthy food options and beverages available.",5
"I ordered a Chocolate Matcha Cake and Vanilla Bean Milkshake

The Chocolate Matcha Cake is intense and rich. And it's not just the chocolate. …",5
Came to this place with high expectations and was not disappointed! I got the spinach and lentil patty with mushrooms sandwich and it was so flavorful and filling. The chai latte was well made and my mom enjoyed her basil pesto chicken wrap too. The staff was friendly and helpful.,5
"DEAR CEDELE,

YOU HAVE RUINED MATCHA CHOCOLATE CAKE. …",5
The Red Chai and Tofu Quinoa sandwich is a perfect combination.,5
We were happy to see the annual Christmas cakes and bought the fruitcake with rum along with a pandan butter and almond semolina cake loaf. …,5
Can try the noodle!,5
"On Thursday 6 th may 2021 ,me n 2 frenz visited at 2:25 pm we ordered those open sandwiches tasty and delicious plus avocado on the side mem SITI n her crew treated us with excellent service - beverages tea ,non sparkling water ,americano ,capuccino so ever refreshing , we thank you",5
Amazing chocolate truffle cake,5
Cedele food and coffee never disappoints.. the pasta was flavourful and healthy with tempeh served on top.. yummy!,5
Delicious scones and brunch sets! Healthy and good ambience,5
"Must try macaroons here, some of the best I've ever had.",5
Very Good,5
The breads are awesome!,5
Excellent variety on menu very good service!!!,5
One of my quick fix for food,5
Food is amazing!,5
My go-to after lunch spot when I’m in the busy CBD area.,5
Large and clean outlet near the entrance of republic plaza. Friendly staff. Seats are comfortable too.,5
"Tucked in quite a quiet corner, great place to retreat to have a nice slice of cake, they're the best!",5
"Got the sea bass and prawn bowl with a curry pumpkin soup add-on (+$4)!

😋 soup was good - yummy, healthy, interesting and hearty!
💰 In the range of $ …",5
"Food is healthy and delicious.
Price reasonable and no service charge :) …",5
Always want ting to Enjoying mindful moments with my loved one. And this this the place to go. …,5
"Big fan for whole-wheat their sourdough .
I signed up for Membership for $25 and get $30 voucher .",5
healthy ingredients can be found in their wide range of menu. Excellent place for coffee and tea.,5
Great bread pastries cakes desserts Western delights coffee and teas. Love the unique artisan bakeries and Western delights. Conveniently located in the neighbourhood hartland at Star Vista shopping mall next to MRT station and bus …,5
"Love the naked burger. It has no bunds, the whole dish is just full of flavors.",5
"I were ordering our food from the counter staff Siti and she offered to renew my membership which had been expired. In the past, I was told multiple times that I had to do the renewal myself.  While serving us the food, Siti was also very cheerful and enthusiastic.  We should encourage our service staff to be more like her. � …",5
always a feast here. crowded brunch time especially after sunday church services,5
"Always love the baked goods in Cedele! Enjoyed brunches there too on weekends! Good service, quality food and reasonable pricing!",5
